CUST_ID,GENDER,MARITAL_STATUS,NATIONALITY,EDUCATION,EMPLOYMENT,OCCUPATION,AGE_IN_YEARS,NO_OF_DIFFERENT_PRODUCTS,LOAN_DEFAULT,DATE_OF_BIRTH,FIRST_CUSTOMER_OPENING_DATE,weekday
10,Female,n/a,n/a,n/a,Housewife,n/a,61.097878,1,F,1943-03-26,1995-07-08,4.0
20,Female,n/a,n/a,n/a,n/a,n/a,57.982204,1,F,1946-05-07,1995-07-08,1.0
30,Female,n/a,Greek Cypriot,n/a,Housewife,n/a,45.859001,1,F,1958-06-21,1995-07-08,5.0
40,n/a,n/a,Greek Cypriot,n/a,n/a,n/a,,1,F,,1995-07-08,
50,Female,n/a,Greek Cypriot,n/a,Private Company / Partnership,Other Professionals,55.956194,1,F,1948-05-16,1995-07-08,6.0
60,n/a,n/a,Greek Cypriot,n/a,n/a,n/a,44.164271,1,F,1960-03-01,1995-07-08,1.0
70,Male,Married,Greek Cypriot,n/a,Government - Semi-Government,Skilled Worker,54.20397,2,F,1950-02-15,1995-07-08,2.0
110,Female,Married,British,n/a,Retired,n/a,53.571526,4,F,1950-10-04,1995-07-08,2.0
156,Male,n/a,Other,n/a,Retired,n/a,88.29295,3,F,1916-01-14,1995-07-08,4.0
173,Female,Married,British,n/a,Private Company / Partnership,Salesmen,44.539357,5,F,1959-10-16,1995-07-08,4.0
202,Female,n/a,Greek Cypriot,n/a,Retired,n/a,63.252567,3,F,1941-01-28,1995-07-08,1.0
342,Male,n/a,British,n/a,Private Company / Partnership,Other Businessmen,59.123888,3,F,1945-03-16,1995-07-08,4.0
618,Female,n/a,British,n/a,Housewife,n/a,64.449008,6,F,1939-11-18,1995-07-08,5.0
790,Male,n/a,Greek Cypriot,n/a,Retired,n/a,80.783025,3,F,1923-07-19,1995-07-08,3.0
967,Male,n/a,Greek Cypriot,n/a,Private Company / Partnership,Restaurant or Hotel Owners,62.187543,2,F,1942-02-21,1995-07-08,5.0
1092,Male,n/a,Other,n/a,Private Company / Partnership,Clerical Staff,73.686516,4,F,1930-08-23,1995-07-08,5.0
1187,Female,n/a,British,n/a,n/a,n/a,42.056126,2,F,1962-04-10,1995-07-08,1.0
1418,Female,Married,Greek Cypriot,College/University,Private Company / Partnership,Other Businessmen,46.798084,4,F,1957-07-13,1995-07-08,5.0
2286,Male,n/a,Greek Cypriot,n/a,Retired,n/a,67.56742,3,F,1936-10-05,1995-07-08,0.0
3563,Male,Married,Greek Cypriot,Secondary,Private Company / Partnership,Clerical Staff,51.192334,6,F,1953-02-19,1995-07-08,3.0
