CUST_ID,LOAN_DEFAULT
10,"F"
20,"F"
30,"F"
40,"F"
50,"F"
60,"F"
70,"F"
110,"F"
156,"F"
173,"F"
202,"F"
342,"F"
618,"F"
790,"F"
967,"F"
1092,"F"
1187,"F"
1201,"F"
1216,"F"
1418,"F"
2286,"F"
3563,"F"
4413,"F"
4959,"T"
5327,"T"
6342,"F"
7193,"F"
8280,"F"
8764,"F"
9578,"F"
9946,"F"
10150,"F"
10292,"F"
10549,"F"
10756,"F"
11042,"F"
11201,"F"
11370,"F"
11550,"F"
11742,"F"
12032,"F"
12270,"T"
12508,"F"
12673,"F"
12809,"F"
12989,"F"
13048,"F"
13240,"F"
13577,"F"
13705,"F"
13804,"F"
14010,"F"
14329,"F"
14695,"F"
15028,"F"
15493,"F"
16009,"F"
16200,"F"
16364,"F"
16643,"F"
16864,"F"
17129,"F"
17451,"F"
17602,"F"
17873,"F"
18068,"F"
18301,"F"
18529,"F"
18635,"F"
18944,"F"
19050,"F"
19244,"F"
19441,"F"
19649,"T"
19760,"F"
20012,"F"
20239,"F"
20411,"F"
20899,"F"
21070,"F"
21279,"F"
21465,"F"
21580,"F"
21713,"F"
21928,"F"
22089,"F"
22284,"F"
22469,"F"
22751,"F"
23023,"F"
23292,"F"
23563,"F"
23768,"F"
23974,"F"
24123,"F"
24234,"F"
24391,"F"
24619,"F"
24846,"F"
25116,"F"
25351,"F"
25542,"F"
25650,"F"
25949,"F"
26110,"F"
26254,"F"
26352,"F"
26560,"T"
26631,"F"
26767,"F"
26962,"F"
27143,"T"
27245,"F"
27350,"F"
27614,"F"
27793,"F"
27969,"T"
28054,"F"
28304,"F"
28400,"T"
28624,"F"
28800,"T"
29006,"F"
29150,"F"
29499,"F"
29685,"F"
29910,"F"
30023,"F"
30346,"F"
30558,"F"
30780,"F"
30915,"F"
31142,"F"
31368,"F"
31487,"F"
31742,"F"
31985,"F"
32144,"F"
32264,"F"
32491,"F"
32678,"T"
32842,"F"
32944,"T"
33077,"F"
33251,"T"
33470,"F"
33596,"F"
33756,"F"
33902,"F"
34204,"F"
34360,"F"
34484,"F"
34684,"F"
34764,"F"
34865,"F"
35065,"F"
35468,"F"
35551,"F"
35825,"F"
36015,"F"
36235,"F"
36390,"F"
36541,"F"
36639,"T"
36795,"F"
36895,"F"
36981,"F"
37146,"F"
37275,"F"
37432,"F"
37500,"F"
37583,"F"
37649,"F"
37724,"F"
37831,"F"
37957,"F"
38065,"F"
38166,"T"
38291,"F"
38421,"F"
38556,"F"
38701,"F"
38791,"F"
38937,"F"
39050,"F"
39135,"F"
39204,"F"
39371,"F"
39482,"F"
39599,"F"
39724,"F"
39928,"F"
40034,"F"
40117,"T"
40240,"F"
40421,"F"
40540,"F"
40613,"F"
40676,"T"
40772,"F"
40872,"F"
41019,"F"
41077,"F"
41155,"F"
41207,"F"
41278,"T"
41362,"F"
41530,"F"
41647,"F"
41746,"F"
41776,"F"
41915,"F"
42013,"F"
42048,"F"
42144,"T"
42248,"F"
42377,"F"
42452,"F"
42503,"T"
42592,"F"
42687,"F"
42778,"F"
42813,"F"
42924,"F"
42989,"T"
43066,"F"
43104,"F"
43198,"F"
43310,"F"
43426,"F"
43546,"F"
43648,"F"
43719,"F"
43882,"F"
43948,"F"
44035,"F"
44068,"T"
44088,"F"
44103,"F"
44126,"F"
44211,"F"
44293,"F"
44348,"F"
44441,"T"
44549,"F"
44652,"F"
44732,"F"
44888,"F"
44948,"T"
45042,"F"
45088,"F"
45213,"F"
45288,"F"
45370,"F"
45466,"F"
45649,"F"
45717,"F"
45774,"T"
45848,"F"
45899,"F"
45995,"F"
46077,"F"
46116,"F"
46211,"F"
46299,"F"
46380,"F"
46466,"F"
46575,"F"
46650,"F"
46726,"F"
46817,"F"
46871,"F"
46991,"F"
47045,"F"
47151,"F"
47351,"F"
47455,"F"
47576,"F"
47652,"F"
47709,"T"
47755,"F"
47891,"F"
47966,"F"
48023,"F"
48174,"F"
48276,"F"
48341,"F"
48420,"F"
48467,"T"
48532,"F"
48550,"T"
48571,"F"
48626,"F"
48678,"F"
48736,"F"
48766,"F"
48848,"F"
48914,"F"
48990,"F"
49082,"F"
49122,"F"
49214,"F"
49275,"T"
49331,"F"
49373,"F"
49455,"F"
49517,"F"
49588,"F"
49627,"T"
49712,"T"
49776,"F"
49830,"F"
49917,"F"
49990,"F"
50033,"F"
50118,"F"
50232,"F"
50327,"F"
50439,"F"
50513,"F"
50637,"F"
50691,"T"
50770,"F"
50829,"F"
50917,"T"
51036,"F"
51096,"F"
51180,"F"
51225,"F"
51286,"F"
51346,"F"
51403,"F"
51487,"F"
51559,"F"
51669,"F"
51728,"F"
51811,"T"
51875,"F"
51934,"F"
51991,"F"
52031,"F"
52075,"F"
52158,"F"
52252,"T"
52325,"F"
52440,"F"
52527,"F"
52579,"F"
52702,"F"
52841,"F"
52937,"F"
53023,"F"
53108,"F"
53163,"F"
53218,"F"
53279,"F"
53340,"F"
53406,"F"
53483,"F"
53520,"F"
53570,"F"
53632,"F"
53670,"T"
53740,"F"
53806,"F"
53873,"F"
53944,"F"
54004,"F"
54053,"F"
54112,"T"
54180,"F"
54235,"T"
54336,"F"
54375,"F"
54427,"F"
54448,"F"
54529,"F"
54579,"F"
54646,"T"
54669,"F"
54743,"F"
54792,"F"
54922,"T"
55006,"F"
55084,"F"
55134,"T"
55192,"T"
55241,"F"
55328,"F"
55394,"F"
55457,"F"
55489,"F"
55539,"T"
55595,"F"
55671,"F"
55740,"F"
55793,"F"
55839,"F"
55903,"F"
55970,"T"
56028,"T"
56098,"T"
56154,"F"
56212,"F"
56294,"F"
56351,"F"
56406,"F"
56475,"F"
56512,"F"
56548,"F"
56614,"F"
56681,"F"
56703,"F"
56747,"F"
56796,"F"
56845,"F"
56899,"F"
56965,"F"
57008,"F"
57029,"F"
57088,"F"
57137,"F"
57165,"F"
57219,"F"
57281,"F"
57337,"F"
57396,"F"
57435,"F"
57461,"F"
57484,"F"
57544,"F"
57597,"T"
57672,"F"
57719,"F"
57775,"F"
57844,"F"
57903,"F"
57965,"F"
58060,"T"
58095,"F"
58163,"F"
58274,"T"
58328,"F"
58427,"F"
58478,"F"
58534,"F"
58585,"T"
58640,"F"
58682,"F"
58721,"F"
58776,"T"
58807,"T"
58844,"F"
58887,"T"
58924,"T"
58961,"F"
59000,"F"
59035,"T"
59083,"F"
59128,"T"
59209,"F"
59267,"T"
59313,"F"
59366,"T"
59425,"F"
59453,"F"
59484,"F"
59523,"F"
59574,"F"
59627,"F"
59670,"F"
59758,"F"
59818,"F"
59875,"F"
59909,"F"
59941,"T"
59988,"F"
60010,"F"
60054,"T"
60119,"F"
60176,"F"
