CUST_ID|NO_OF_CARDS_PURCHASES|NO_OF_CREDIT_CARDS_TRANSACTIONS|NO_OF_DEBIT_CARDS_TRANSACTIONS|NO_OF_TELLER_TRANSACTIONS|NO_OF_ATM_TRANSACTIONS|NO_OF_INTERNATIONAL_CARDS_TRANSACTIONS|NO_OF_INTERNATIONAL_ATM_TRANSACTIONS|NO_OF_E_TRANSACTIONS|VALUE_OF_CARDS_PURCHASES|VALUE_OF_CREDIT_CARDS_TRANSACTIONS|VALUE_OF_DEBIT_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_ATM_TRANSACTIONS
10||||5|0|0|0|0||||0.000000|0.000000
20|28|28|0|6|0|0|0|0|554.230000|554.230000|0.000000|0.000000|0.000000
30|95|95|0|0|0|11|0|0|4037.250000|4037.250000|0.000000|1187.840000|0.000000
40|112|0|112|1|0|0|0|0|5403.320000|0.000000|5403.320000|0.000000|0.000000
50||||1|0|0|0|0||||0.000000|0.000000
60|118|118|0|0|0|0|0|0|4743.590000|4743.590000|0.000000|0.000000|0.000000
70|3|3|0|42|0|0|0|0|369.500000|369.500000|0.000000|0.000000|0.000000
110|27|0|28|61|4|0|0|0|823.430000|0.000000|879.430000|0.000000|0.000000
156|1|0|1|18|19|0|0|0|56.700000|0.000000|56.700000|0.000000|0.000000
173|46|0|46|68|0|26|0|0|2361.510000|0.000000|2361.510000|1742.880000|0.000000
202|52|0|52|51|0|0|0|0|2415.060000|0.000000|2415.060000|0.000000|0.000000
342||||1|0|0|0|0||||0.000000|0.000000
618|48|49|0|83|24|5|0|0|1829.190000|1841.990000|0.000000|66.580000|0.000000
790|1|0|1|130|0|0|0|0|51.560000|0.000000|51.560000|0.000000|0.000000
967|53|0|57|62|66|0|0|0|2137.810000|0.000000|2237.810000|0.000000|0.000000
1092|21|0|21|37|0|18|0|0|3156.750000|0.000000|3156.750000|2724.600000|0.000000
1187|65|0|67|1|76|0|0|12|1937.680000|0.000000|2047.680000|0.000000|0.000000
1201|57|0|57|86|12|0|0|0|1756.570000|0.000000|1756.570000|0.000000|0.000000
1216|74|0|74|176|134|0|0|0|3193.800000|0.000000|3193.800000|0.000000|0.000000
1418||||123|0|0|0|0||||0.000000|0.000000
2286|5|5|0|5|0|1|0|0|497.790000|497.790000|0.000000|25.280000|0.000000
3563|90|90|0|53|0|4|0|0|2243.820000|2243.820000|0.000000|92.630000|0.000000
4413|34|0|35|62|2|0|0|0|1503.730000|0.000000|1513.230000|0.000000|0.000000
4959|||||||||||||
5327||||20|0|0|0|0||||0.000000|0.000000
6342|7|0|8|43|0|4|0|2|1388.840000|0.000000|1450.290000|582.770000|0.000000
7193||||21|0|0|0|1||||0.000000|0.000000
8280|12|0|12|21|0|0|0|0|281.790000|0.000000|281.790000|0.000000|0.000000
8764|8|0|8|10|2|0|0|50|163.790000|0.000000|163.790000|0.000000|0.000000
9578|7|0|7|7|0|0|0|0|120.860000|0.000000|120.860000|0.000000|0.000000
9946|34|0|34|35|62|0|0|0|1068.590000|0.000000|1068.590000|0.000000|0.000000
10150|2|0|2|210|0|0|0|0|49.600000|0.000000|49.600000|0.000000|0.000000
10292|67|0|67|152|93|0|0|0|6356.720000|0.000000|6356.720000|0.000000|0.000000
10549|12|0|12|18|4|0|0|0|205.400000|0.000000|205.400000|0.000000|0.000000
10756|59|0|59|69|34|5|0|0|1667.570000|0.000000|1667.570000|443.860000|0.000000
11042|84|0|84|62|129|0|0|0|6288.840000|0.000000|6288.840000|0.000000|0.000000
11201|||||||||||||
11370||||16|0|0|0|0||||0.000000|0.000000
11550||||17|2|0|0|0||||0.000000|0.000000
11742|24|0|24|1|9|0|0|0|1243.960000|0.000000|1243.960000|0.000000|0.000000
12032||||34|0|0|0|1||||0.000000|0.000000
12270||||18|0|0|0|0||||0.000000|0.000000
12508|||||||||||||
12673||||18|0|0|0|0||||0.000000|0.000000
12809|20|20|0|85|0|15|0|0|3424.380000|3424.380000|0.000000|2175.520000|0.000000
12989|||||||||||||
13048|5|0|5|3|0|0|0|0|134.510000|0.000000|134.510000|0.000000|0.000000
13240|12|0|12|8|0|0|0|0|545.540000|0.000000|545.540000|0.000000|0.000000
13577||||1|0|0|0|0||||0.000000|0.000000
13705|1|0|1|0|0|0|0|0|6.590000|0.000000|6.590000|0.000000|0.000000
13804|32|0|32|55|21|3|0|0|974.290000|0.000000|974.290000|135.130000|0.000000
14010||||134|0|0|0|0||||0.000000|0.000000
14329|1|0|1|47|0|2|0|0|944.530000|0.000000|944.530000|1199.030000|0.000000
14695|9|0|10|142|0|0|0|0|279.490000|0.000000|579.490000|0.000000|0.000000
15028||||53|0|0|0|0||||0.000000|0.000000
15493|7|0|11|44|2|9|2|0|506.580000|0.000000|891.950000|690.780000|201.170000
16009||||20|18|0|0|0||||0.000000|0.000000
16200||||5|0|0|0|0||||0.000000|0.000000
16364||||35|10|0|0|0||||0.000000|0.000000
16643||||2|1|0|0|0||||0.000000|0.000000
16864|57|0|57|40|8|0|0|5|6859.940000|0.000000|6859.940000|0.000000|0.000000
17129|4|0|4|0|4|0|0|0|97.680000|0.000000|97.680000|0.000000|0.000000
17451|16|0|16|36|20|0|0|71|584.120000|0.000000|584.120000|0.000000|0.000000
17602|62|0|62|207|0|2|0|16|1790.230000|0.000000|1790.230000|7.880000|0.000000
17873|119|119|0|12|0|0|0|0|3816.720000|3816.720000|0.000000|0.000000|0.000000
18068||||4|0|0|0|0||||0.000000|0.000000
18301|15|0|15|0|0|0|0|0|3234.170000|0.000000|3234.170000|0.000000|0.000000
18529|36|0|37|50|28|0|0|0|1740.340000|0.000000|1840.340000|0.000000|0.000000
18635|23|0|23|19|0|0|0|0|464.790000|0.000000|464.790000|0.000000|0.000000
18944||||15|15|0|0|0||||0.000000|0.000000
19050|7|0|7|2|0|7|0|0|699.750000|0.000000|699.750000|699.750000|0.000000
19244|5|0|5|10|0|0|0|8|69.700000|0.000000|69.700000|0.000000|0.000000
19441||||31|20|0|0|0||||0.000000|0.000000
19649|1|1|0|15|0|0|0|0|49.990000|49.990000|0.000000|0.000000|0.000000
19760||||0|7|0|0|0||||0.000000|0.000000
20012||||56|0|0|0|0||||0.000000|0.000000
20239|20|0|20|81|1|0|0|0|472.810000|0.000000|472.810000|0.000000|0.000000
20411|195|187|8|0|0|7|0|0|3198.370000|3080.750000|117.620000|102.080000|0.000000
20899|6|6|0|0|0|1|0|0|285.580000|285.580000|0.000000|41.060000|0.000000
21070|20|0|20|27|0|20|0|0|6055.410000|0.000000|6055.410000|6055.410000|0.000000
21279|25|25|0|0|32|0|0|0|804.980000|804.980000|0.000000|0.000000|0.000000
21465||||55|0|0|0|0||||0.000000|0.000000
21580|12|0|12|2|0|0|0|0|429.020000|0.000000|429.020000|0.000000|0.000000
21713|||||||||||||
21928|6|0|10|27|85|0|0|0|324.740000|0.000000|584.740000|0.000000|0.000000
22089|89|0|96|109|22|0|0|0|3332.980000|0.000000|4132.980000|0.000000|0.000000
22284|23|22|1|74|93|7|0|4|1023.450000|986.150000|37.300000|416.530000|0.000000
22469|6|0|6|20|10|0|0|0|134.650000|0.000000|134.650000|0.000000|0.000000
22751||||40|1|0|0|0||||0.000000|0.000000
23023||||18|0|0|0|0||||0.000000|0.000000
23292|26|0|26|0|24|0|0|0|845.910000|0.000000|845.910000|0.000000|0.000000
23563|23|23|0|124|0|19|0|0|1054.990000|1054.990000|0.000000|879.920000|0.000000
23768|28|0|42|98|11|28|11|0|2288.940000|0.000000|4101.850000|2402.730000|1283.790000
23974||||6|0|0|0|0||||0.000000|0.000000
24123|65|0|66|174|20|0|0|0|1348.090000|0.000000|1368.090000|0.000000|0.000000
24234|31|0|31|124|0|30|0|51|254.710000|0.000000|254.710000|248.200000|0.000000
24391|111|0|111|46|188|0|0|0|2410.130000|0.000000|2410.130000|0.000000|0.000000
24619|8|0|8|0|24|0|0|0|133.080000|0.000000|133.080000|0.000000|0.000000
24846|32|0|32|68|12|0|0|0|950.990000|0.000000|950.990000|0.000000|0.000000
25116|48|0|48|6|54|0|0|0|2370.380000|0.000000|2370.380000|0.000000|0.000000
25351|43|0|43|71|23|1|0|0|1413.400000|0.000000|1413.400000|19.120000|0.000000
25542|116|0|117|64|11|0|0|0|2156.900000|0.000000|2168.150000|0.000000|0.000000
25650|60|60|0|119|0|32|0|0|6668.830000|6668.830000|0.000000|4629.740000|0.000000
25949|18|18|0|16|0|0|0|0|1609.140000|1609.140000|0.000000|0.000000|0.000000
26110||||7|0|0|0|0||||0.000000|0.000000
26254|5|0|5|74|0|2|0|0|270.820000|0.000000|270.820000|61.330000|0.000000
26352||||43|0|0|0|0||||0.000000|0.000000
26560||||11|6|0|0|1||||0.000000|0.000000
26631|||||||||||||
26767|115|115|0|194|8|24|0|0|5356.920000|5356.920000|0.000000|1571.870000|0.000000
26962|1|0|1|2|0|0|0|0|20.000000|0.000000|20.000000|0.000000|0.000000
27143||||9|0|0|0|0||||0.000000|0.000000
27245|61|0|61|33|7|0|0|0|3058.280000|0.000000|3058.280000|0.000000|0.000000
27350|5|0|5|92|0|0|0|0|427.220000|0.000000|427.220000|0.000000|0.000000
27614|5|0|5|31|0|5|0|0|740.080000|0.000000|740.080000|740.080000|0.000000
27793||||4|0|0|0|0||||0.000000|0.000000
27969|||||||||||||
28054|16|0|16|32|13|0|0|5|692.380000|0.000000|692.380000|0.000000|0.000000
